# Last execution: 30-11-2022 19:57:37
# Overview:
	- Unified: 1866
	- Duplicates: 163 (Individual: 469)
	- Total Recipes: 30849
	- Elapsed Time: 5105ms

# Summary: 
Recipe type                                   |    Unifies | Duplicates |   All
-------------------------------------------------------------------------------
apotheosis:fletching                          |          1 |            |     7
ars_nouveau:book_upgrade                      |          3 |            |     3
bloodmagic:alchemytable                       |          9 |            |   147
bloodmagic:arc                                |         16 |    2 (  4) |   205
botania:brew                                  |          4 |            |    20
botania:elven_trade                           |          4 |            |    15
botania:mana_infusion                         |          5 |            |   128
botania:runic_altar                           |          2 |            |    25
create:crushing                               |         31 |            |   209
create:deploying                              |          1 |            |    42
create:item_application                       |          2 |            |     7
create:mechanical_crafting                    |          1 |            |     4
create:milling                                |          3 |            |   174
create:mixing                                 |          1 |            |    14
create:pressing                               |          3 |            |    36
create:sequenced_assembly                     |          1 |            |     3
create:splashing                              |         12 |    5 ( 11) |    80
forge:conditional                             |        128 |            |   739
ftbic:macerating                              |          2 |            |    80
hexerei:mixingcauldron                        |         14 |            |    26
immersiveengineering:alloy                    |          5 |            |     8
immersiveengineering:arc_furnace              |         73 |            |   129
immersiveengineering:blast_furnace            |          2 |            |     2
immersiveengineering:bottling_machine         |          1 |            |     9
immersiveengineering:coke_oven                |          2 |            |     3
immersiveengineering:crusher                  |         78 |    1 (  2) |   180
immersiveengineering:hammer_crushing          |         20 |            |    30
immersiveengineering:metal_press              |         54 |            |   111
industrialforegoing:dissolution_chamber       |         16 |            |    50
industrialforegoing:laser_drill_ore           |          1 |            |     9
malum:spirit_infusion                         |          2 |            |    52
mcjtylib:copy_nbt                             |          7 |            |    27
mekanism:combining                            |         10 |            |    96
mekanism:crushing                             |         14 |            |   339
mekanism:enriching                            |         27 |            |   340
mekanism:infusion_conversion                  |          2 |            |    18
mekanism:injecting                            |          1 |            |   133
mekanism:metallurgic_infusing                 |          4 |            |    32
mekanism:pigment_extracting                   |          1 |            |   205
minecraft:blasting                            |        137 |   42 (136) |   327
minecraft:crafting_shaped                     |        472 |   38 ( 95) |  9371
minecraft:crafting_shapeless                  |        145 |   33 ( 85) |  2930
minecraft:smelting                            |        135 |   42 (136) |   517
minecraft:stonecutting                        |          4 |            |  2455
naturesaura:altar                             |          5 |            |    30
naturesaura:animal_spawner                    |          4 |            |    60
naturesaura:tree_ritual                       |          5 |            |    17
occultism:crushing                            |         13 |            |   103
occultism:miner                               |         13 |            |    64
powah:energizing                              |          3 |            |    13
rftoolsutility:syringe                        |          1 |            |    16
spirit:soul_engulfing                         |          1 |            |     8
tconstruct:casting_basin                      |         27 |            |   173
tconstruct:casting_table                      |        212 |            |  1048
thermal:centrifuge                            |          4 |            |    79
thermal:press                                 |         74 |            |   521
thermal:pulverizer                            |         22 |            |   134
thermal:pyrolyzer                             |          1 |            |     3
thermal:smelter                               |         15 |            |   127
thermal:smelter_catalyst                      |          2 |            |     6
thermal:smelter_recycle                       |          6 |            |    22
thermal:stirling_fuel                         |          2 |            |     5
